Scenario,KNN_RMSE,KNN_MAE,KNN_R2,KNN_Time,SVM_RMSE,SVM_MAE,SVM_R2,SVM_Time,Hybrid_RMSE,Hybrid_MAE,Hybrid_R2,Hybrid_Time,Missing_Mechanism,Scenario_Type,Missing_Percentage,Best_Method_RMSE,Best_Method_MAE,Best_Method_R2,Hybrid_vs_KNN_RMSE_Improvement,Hybrid_vs_SVM_RMSE_Improvement,Hybrid_vs_KNN_MAE_Improvement,Hybrid_vs_SVM_MAE_Improvement,Hybrid_vs_KNN_R2_Improvement,Hybrid_vs_SVM_R2_Improvement
MCAR_RandomSensorFailures_10pct,3.3075220942543,1.2019265153358547,0.9865770820076524,0.6016032695770264,5.360513435621602,2.4453142674483948,0.9647422814451884,56.06341147422791,3.2911181576550805,1.1935391755003084,0.9867098960401516,76.8471999168396,MCAR,RandomSensorFailures,10,Hybrid,Hybrid,Hybrid,0.4959584889157882,38.60442293111342,0.6978246780089227,51.19076548202831,0.013462103967480614,2.277044866537375
MCAR_ConnectionIssues_10pct,9.456358382448784,3.696261167310422,0.8904426868751458,0.6696774959564209,10.823762609544652,4.489813903456005,0.8564675678764233,55.65929651260376,9.80805475473078,3.897760149712021,0.8821419394616625,80.18484497070312,MCAR,ConnectionIssues,10,KNN,KNN,KNN,-3.7191523212017046,9.384055170594714,-5.4514270848512325,13.186598965454996,-0.9322045692366046,2.9977050560008696
MAR_ActivityDependent_10pct,1.0569451227999265,0.7741434728579185,0.953164314596732,0.1301813125610351,4.282037414485576,2.075316887034816,0.2312716153810026,55.14610052108765,1.0825537192831434,0.7947219536276018,0.9508672678433964,77.6307463645935,MAR,ActivityDependent,10,KNN,KNN,KNN,-2.4228879939743524,74.71872348380225,-2.658225702493279,61.70599494503756,-0.2409916861299495,311.14741481651953
MAR_BatteryDepletion_10pct,13.201885847617255,5.783588995998566,0.9544546300578616,0.3312928676605224,11.51150564645264,5.134119117059867,0.9653712711932462,56.139724016189575,16.29258948684802,6.908635719035056,0.9306330630673096,75.23824572563171,MAR,BatteryDepletion,10,SVM,SVM,SVM,-23.41107683330401,-41.533088609209926,-19.452397530579443,-34.56321447780108,-2.495830209248166,-3.598429864501603
MNAR_ValueDependent_10pct,6.4794690501757,3.045825398322316,0.9881793866403116,0.3702430725097656,6.671789324886906,2.2806755114332518,0.987467266032955,56.18812155723572,6.872316322436535,3.2113654767563027,0.9867025778891088,75.7873170375824,MNAR,ValueDependent,10,KNN,SVM,KNN,-6.062954683766602,-3.0055954674951884,-5.434982534624891,-40.80764495683012,-0.14944743547260042,-0.0774393410445168
MNAR_RangeLimitation_10pct,8.225749192468514,4.151118386034645,0.9350516129610288,0.5172922611236572,9.648784008999868,4.514861637375725,0.9106359974174956,56.29869914054871,7.926933963845001,4.079392961540457,0.9396846400989868,75.4697961807251,MNAR,RangeLimitation,10,Hybrid,Hybrid,Hybrid,3.6326810073070077,17.84525431959942,1.7278578403229514,9.645227491143785,0.4954835726432874,3.1899291005265846
MCAR_RandomSensorFailures_20pct,4.931928830633448,1.5727928976184389,0.9715587704720788,0.7663524150848389,5.82977986819335,2.6349349943694893,0.9602608038741614,55.72305560112,4.0247615447697065,1.3811224014250996,0.98105934145235,76.47074174880981,MCAR,RandomSensorFailures,20,Hybrid,Hybrid,Hybrid,18.39376270454468,30.96203225908458,12.186632867148079,47.58419451043851,0.9778688916219463,2.165925912447655
MCAR_ConnectionIssues_20pct,8.87887287754607,3.532553209446362,0.9013606212357986,0.7732770442962646,10.426467994998909,4.313230301234767,0.8639780234968233,55.75051546096802,9.270294074068907,3.673721472647709,0.8924719736428153,74.99201774597168,MCAR,ConnectionIssues,20,KNN,KNN,KNN,-4.408455914632003,11.088835850113043,-3.996210526251958,14.826679400911722,-0.986136667563388,3.2979947835555974
MAR_ActivityDependent_20pct,1.1635658826923887,0.8256477256354159,0.9450335764739844,0.161440372467041,5.755128587331819,3.309228298825105,-0.3447005596551853,58.071858644485474,1.191418855832219,0.8521027841356404,0.9423705518642184,77.50552749633789,MAR,ActivityDependent,20,KNN,KNN,KNN,-2.3937598681890657,79.29813664885319,-3.204158102641757,74.25071022032033,-0.2817915337677311,-373.3881699544964
MAR_BatteryDepletion_20pct,19.059648887036897,7.16730608143858,0.8662742897322092,0.4572541713714599,10.410776943573184,4.422931339656928,0.9601019743988256,57.51315546035767,16.833515515124883,6.547263225274683,0.8956878807755573,77.72947072982788,MAR,BatteryDepletion,20,SVM,SVM,SVM,11.679823616405026,-61.69317243432639,8.650988936689103,-48.029953948652825,3.3954131378458277,-6.709088757327226
MNAR_ValueDependent_20pct,7.883414099920402,3.602744593930088,0.9812881562596216,0.3745489120483398,8.033801379981082,3.3308858615757715,0.98056743704147,56.48051571846008,8.475288510732,3.8050160024257766,0.9783729698954624,76.84214544296265,MNAR,ValueDependent,20,KNN,SVM,KNN,-7.507843724936053,-5.495370247153878,-5.614369912218473,-14.234355680554728,-0.29707750425430995,-0.22379563741466205
MNAR_RangeLimitation_20pct,8.948845499471933,4.050067635543528,0.9249272352937982,0.6131210327148438,9.826748253717708,4.836325005787868,0.9094751007438632,58.18528485298157,8.37015498148245,3.96110366609096,0.9343226851784272,79.55654501914978,MNAR,RangeLimitation,20,Hybrid,Hybrid,Hybrid,6.466650005563629,14.822739268650665,2.196604537460495,18.09682638469267,1.0158042196308148,2.7320796813723756
MCAR_RandomSensorFailures_30pct,5.32863186650476,1.6474900301561644,0.968983030607844,0.8252279758453369,7.147123142519393,3.2432400101519776,0.9442004809027232,61.1515166759491,4.6480128668867255,1.6209067956611294,0.9764005126215876,79.613516330719,MCAR,RandomSensorFailures,30,Hybrid,Hybrid,Hybrid,12.772865843788844,34.966660372270006,1.61355965793099,50.021990645546644,0.7654914254887002,3.4102960515418066
MCAR_ConnectionIssues_30pct,8.661976050155685,3.3920123918167464,0.9136727686481242,0.8380992412567139,9.892318372921276,4.149647084097637,0.8874073539074951,59.4396767616272,8.702555834773408,3.369171560281412,0.9128620191787262,75.23406839370728,MCAR,ConnectionIssues,30,KNN,Hybrid,KNN,-0.4684818381250728,12.027135533816445,0.6733711112152185,18.808238580268174,-0.08873521212606066,2.868430733546132
MAR_ActivityDependent_30pct,1.2221227593435364,0.835321651193655,0.9394030758528276,0.1482660770416259,5.570033907401023,3.251791732177725,-0.2587416256825405,55.95400714874268,1.23042653478207,0.8477216241429814,0.9385768205545656,74.7626600265503,MAR,ActivityDependent,30,KNN,KNN,KNN,-0.6794551017930418,77.90989147934673,-1.4844548721569837,73.93062982003272,-0.08795535372415735,-462.7467432341712
MAR_BatteryDepletion_30pct,15.5854964128549,5.2274418482632194,0.8855339328597368,0.6744458675384521,9.763362751060324,4.054761862890742,0.9550805599919076,57.87824511528015,13.09630535368176,4.638257880330178,0.9191773534304204,77.99013614654541,MAR,BatteryDepletion,30,SVM,SVM,SVM,15.97120164308695,-34.1372402890538,11.270980816913223,-14.390389304476859,3.7992243235711785,-3.7591809597497585
MNAR_ValueDependent_30pct,10.036301000789932,4.745624320870637,0.9714678646547,0.4002904891967773,10.063259812688548,4.538369432416018,0.9713143767221706,56.77496838569641,11.378780515141113,5.292076751627044,0.9633243043096392,1478.965538978577,MNAR,ValueDependent,30,KNN,SVM,KNN,-13.376238060671138,-13.072510567538492,-11.514869146998855,-16.60744746400663,-0.8382737753199244,-0.8226041541251472
MNAR_RangeLimitation_30pct,9.751059675044548,4.116994961956536,0.9070418959086936,0.7337722778320312,9.80237686895879,4.680936145037558,0.906060894511432,60.84603977203369,9.487046134398366,3.975873706548536,0.912007500563236,75.0172815322876,MNAR,RangeLimitation,30,Hybrid,Hybrid,Hybrid,2.7075369184936937,3.216880342144189,3.4277733325409288,15.062423768298697,0.5474504184360509,0.6563141713571594
